number,customer,description,price,country,url_addr,deadline
2019-718647,"ОАО ""БЗРМ""",Закупка услуг по переработке маслосемян рапса на давальческих условиях,1 920 000,BLR,http://www.icetrade.by/tenders/all/view/718647,2019-06-27
2019-718646,Сормовский сельисполком,закупка легкового автомобиля LADA 4х4 3дв. или его аналог (новый),0,BLR,http://www.icetrade.by/tenders/all/view/718646,2019-06-27
2019-718644,"Коммунальное унитарное ремонтно-эксплуатационное предприятие ""Жилищное ремонтно-эксплуатационное управление г. Барановичи""","Cтроительно-монтажные работ на объектах: Лот № 1 «Капитальный ремонт кровли жилого дома №21 по ул. Коммунистической в г.Барановичи», Лот №2  «Капитальный ремонт кровли жилого дома № 32 по ул. Наконечникова в г.Барановичи», Лот №3 «Капитальный ремонт кровли жилого дома № 27 по  ул. Наконечникова в г.Барановичи», Лот №4  «Капитальный ремонт кровли жилого дома № 102 по ул. Советской  в г.Барановичи», Лот №5  «Капитальный ремонт кровли жилого дома №99 по ул.  Кирова в г.Барановичи»",655 630,BLR,http://www.icetrade.by/tenders/all/view/718644,2019-07-09
2019-718638,"ГЛХУ ""Бобруйский лесхоз""",Закупка легкового автомобиля с системой полного привода 4х4,16 500,BLR,http://www.icetrade.by/tenders/all/view/718638,2019-06-26
2019-718636,Управление по образованию администрации Центрального района г. Минска,Закупка компьютеров и электронного оборудования,53 315,BLR,http://www.icetrade.by/tenders/all/view/718636,2019-06-26
2019-718632,"КУП ""Брестское областное управление капитального строительства""",закупка офисной мебели,117 550,BLR,http://www.icetrade.by/tenders/all/view/718632,2019-07-08
2019-718621,"ОАО ""БЕЛЭНЕРГОРЕМНАЛАДКА""",Закупка диагностического комплекса для испытаний быстродействия сервомоторов органов парораспределения и КОС паровых турбин,65 331.84,BLR,http://www.icetrade.by/tenders/all/view/718621,2019-06-27
2019-718618,Учреждение «Гомельская областная детская клиническая больница»,"Услуги по техническому обслуживанию и ремонту рентгеновского, электродиагностического и электротерапевтического оборудования",0,BLR,http://www.icetrade.by/tenders/all/view/718618,2019-06-26
2019-718616,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи","БарМТ №352/19 – Оборудование физиотерапевтическое, Устройство для разогрева парафина и озокерита, Набор для трепанации черепа",0,BLR,http://www.icetrade.by/tenders/all/view/718616,2019-06-27
2019-718614,"РУП ""БЕЛМЕДПРЕПАРАТЫ""","закупка вспомогательного сырья ""Промывная жидкость А"" (конкурс № ОК 26-19)",20 000,BLR,http://www.icetrade.by/tenders/all/view/718614,2019-06-27
2019-718613,"Государственное предприятие ""Жилищное коммунальное хозяйство Ленинского района г. Минска""","выбор подрядной организации для выполнения работ по текущему ремонту асфальтобетонных покрытий дворовых проездов, находящихся на обслуживании государственного предприятия «Жилищное коммунальное хозяйство Ленинского района г. Минска».",198 513.40,BLR,http://www.icetrade.by/tenders/all/view/718613,2019-07-08
2019-718611,"ОАО ""БМЗ- управляющая компания холдинга ""БМК""",Камерной печи LF 120/13 NABERTHERM или аналог,35 000,BLR,http://www.icetrade.by/tenders/all/view/718611,2019-07-10
2019-718609,"Белорусское республиканское унитарное страховое предприятие ""Белгосстрах""","Право использования (лицензия), с технической поддержкой, программного обеспечения антивирусной защиты Касперского сроком на 1 год",95 000,BLR,http://www.icetrade.by/tenders/all/view/718609,2019-07-01
